,id,text,cluster_id
88,14,я его больше не увижу,39
89,101,я больше его не увижу,39
90,102,мне было не с кем поговорить,40
91,322,тому было не с кем играть,40
92,40,они три года провели в тюрьме,41
93,210,они провели три года в тюрьме,41
94,10,том меня сейчас хочет видеть,42
95,81,том хочет меня сейчас видеть,42
96,326,том очень мне помог,43
97,169,том очень мае помог,43
98,252,мне было нечего скрывать,44
99,130,мне нечего было скрывать,44
100,24,ты хотел мне рассказать о свободе,45
101,140,ты хотел рассказать мне о свободе,45
102,329,что том на это скажер,46
103,317,что том на это скажет,46
104,54,кто мне может это объяснить,47
105,272,кто может мне это объяснить,47
106,203,мне пришлось всё делать самому,48
107,298,мне пришлось делать всё самому,48
108,66,том здесь больше не работает,49
109,107,том больше здесь не работает,49
110,33,я живу сейчас в бостоне,50
111,398,я знаю что том сейчас в бостоне,50
112,147,я правда тебя не понимаю,51
113,336,я тебя правда не понимаю,51
114,167,ты в футбол играешь или в регби,52
115,124,ты играешь в футбол или регби,52
116,71,я больше не могу ждать,53
117,19,я не могу больше ждать,53
118,269,настоящий друг бы мне помог,54
119,372,настоящий друг мне бы помог,54
120,151,сколько тебе тогда было лет,55
121,381,сколько шебе тогда было лет,55
122,5,почему они с нами так поступают,56
123,70,почему они так с ним поступают,56
124,53,извините я хотел бы кто примерить,57
125,119,извините я хотел бы это примерить,57
126,176,мне сегодня не нужно никуда идти,58
127,205,том не хотел никуда идти,58
128,324,я неплохо провёл вчера время,59
129,178,я вчера неплохо провёл время,59
130,58,я не езжу в школу на автобусе,60
131,75,я езжу в школу не на автобусе,60
132,260,я никогда не забуду его выражение лица,61
133,207,я никогда не забуду выражение его лица,61
134,4,у него с собой не было тогда денег,62
135,13,у него тогда не было с собой денег,62
136,236,я только что его доделал,63
137,389,я только что его исправил,63
138,117,лакая гора самая высокая в европе,64
139,355,какая гора самая высокая в европе,64
140,84,какая гора самая высокая в мире,64
141,353,твои комментарии всегда мне очень помогали,65
142,38,твои комментарии мне всегда очень помогали,65
143,35,мне нужны будут подробности,66
144,254,мне будут нужны подробности,66
145,229,я живу не в финляндии,67
146,144,я не живу в финляндии,67
147,44,тому было нечего сказать,68
148,408,рому было нечего сказать,68
149,172,почему она с ним так поступает,69
150,15,почему она так с ней поступает,69
151,234,почему она так с ним поступает,69
152,304,я этого ещё не сделал,70
153,300,я ещё этого не сделал,70
154,41,вчера был просто не мой день,71
155,145,вчера просто был не мой день,71
156,37,он сказал что вчера был дома,72
157,405,нет вчера был дома,72
158,352,том всё мне расскатал,73
159,342,том всё мне рассказал,73
160,303,том никогда мне не называл свою фамилию,74
161,109,том никогда мне не называть свою фамилию,74
162,251,я же вас просил меня разбудить,75
163,239,я же тебя просил меня разбудить,75
164,386,она тратит все свои деньги на одежду,76
165,59,она все свои деньги тратит на одежду,76
166,291,они были не готовы,77
167,359,мы были не готовы,77
168,259,том сейчас не может подойти к телефону,78
169,85,том не может сейчас подойти к телефону,78
170,110,том бы никогда не соглхсился,79
171,52,том бы никогда не согласился,79
172,380,почему вса на нас смотрят,80
173,65,почему все на нас смотрят,80
174,112,том никогда тебя больше не увидит,81
175,135,том никогда больше тебя не увидит,81
176,46,я напишу или позвоню тебе на следующей неделе,82
177,200,я тебе напишу или позвоню на следующей неделе,82
178,111,я его редко видел в школе,83
179,67,я редко видел его в школе,83
180,368,надо было позвонить и заранее забронировать столик,84
181,177,том не живёт в бостоне,85
182,325,том сейчас не живёт в бостоне,85
183,56,том сегодня не может прийти,86
184,173,том не может сегодня прийти,86
185,271,я не хочу с тобой больше играть,87
186,7,я больше не хочу с тобой играть,87
187,338,том уже выпил три чашки кофе,88
188,347,том выпил уже три чашки кофе,88
189,284,у меня кое-что есть для тома,89
190,179,у меня есть кое-что для тома,89
191,391,что именно сказал тебе том,90
192,128,я бы хотел поехать во францию,91
193,243,я хотел бы поехать во францию,91
194,226,она была не готова,92
195,182,мир была не готова,92
196,171,не слышно было ни звука,93
197,364,я им сам позвоню,94
198,292,я ему сам позвоню,94
199,392,я хотел бы сам разбудить их,95
200,80,я думаю всё время о томе,96
201,68,я думаю всё время о томе,96
202,288,том уже должен быть дома,97
203,375,том уже должен быть дола,97
204,357,странно что нас никто не знает,98
205,142,странно что никто нас не знает,98
206,3,никто туда больше не ходит,99
207,266,никто больше туда не ходит,99
208,93,я покажу вам несколько фотографий,100
209,199,я вам покажу несколько фотографий,100
210,320,я сейчас живу в бостоне,101
211,297,я не живу в бостоне,101
212,369,он что-то искал в темноте,102
213,258,я никогда с этим не соглашусь,103
214,349,тома не будет здесь до половины третьего,104
215,290,тома здесь не будет до половины третьего,104
216,48,чем ты будешь заниматься завтра в это время,105
217,285,чем ты завтра будешь заниматься в это время,105
218,305,возьми его ключи от машины,106
219,315,возьми ключи от его машины,106
220,289,ты яблоки любишь или апельсины,107
221,280,ты любишь яблоки или апельсины,107
222,362,я не пытался никого убить,108
223,131,я здесь никого не знаю,109
224,318,я никого здесь не знаю,109
225,370,я был не пристёгнут,110
226,387,том продал сегодня три холодильника,111
227,185,том продал сегоднь три холодильника,111
228,299,камое это имеет отношение к школе,112
229,89,какое это имеет отношение к школе,112
230,90,я не хотел ввести никого в заблуждение,113
231,404,я никого не хотел ввести в заблуждение,113
232,32,том не знает ничего о семье мир,114
233,301,том ничего не знает о семье мир,114
234,148,говорят в горах погода быстро меняется,115
235,313,говорят погода в горах быстро меняется,115
236,351,том и мир объявили сегодня о своей помолвке,116
237,17,том и мир объявили сегодня о своей пбмолвке,116
238,306,мы не можем прожить ни дня без воды,117
239,412,мы ни дня не можем прожить без воды,117
240,410,мы должны всем им помочь,118
241,118,я хочу сделать что-то со своей жизною,119
242,64,я хочу сделать что-то со своей жизнью,119
243,282,я больше никогда не увижу тома,120
244,257,я никогда больше не увижу тома,120
245,270,том очень этим гордился,121
246,385,я хотел бы выучить финский,122
247,155,я бы хотел выучить финский,122
248,411,чего ты свой нос повсюду суёшь,123
249,401,я никогда ничего от тебя не скрывал,124
250,213,я никогда от тебя ничего не скрывал,124
251,316,я ничего не могу доказать,125
252,350,я бы хотел куриного супа,126
253,374,я хотел бы куриного супа,126
254,378,мы много времени проводим вместе,127
255,69,мы много времени проводить вместе,127
256,390,том и один из моих лучших друзей,128
257,278,том и один из лучших моих друзей,128
258,363,они только что их нашли,129
259,123,мы только что их нашли,129
260,162,мы сегодня поговорим с томом,130
261,83,никто не знает что на самом деле происходит,131
262,106,никто не знает что на самом деле происходит,131
263,361,они не мои настоящие родители,132
264,247,они мои не настоящие родители,132
265,343,пусть это свиньи едят,133
266,22,пусть свиньи это едят,133
267,255,я бы хотел столик у окна,134
268,103,я хотел бы столик у окна,134
269,400,эта способность к общению нам очень помогает,135
270,296,эта способность к общению очень нам помогает,135
271,157,хирург забыл что-то внутри пациента,136
272,295,хирург забыл что-то внутри пациента,136
273,348,она была тогда маленькой девочкой,137
274,88,многие птицы осенью улетают на юг,138
275,250,многие птицы на зиму улетают на юг,138
276,358,мир не была готова,139
277,384,она не была готова,139
278,244,я встретил его случайно на улице,140
279,354,я его случайно встретил на улице,140
280,406,я бы хотел выучить латышский,141
281,180,я бы хотел выучить латышсккй,141
282,168,я заплатил ему на прошлой неделе,142
283,146,я ему заплатил на прошлой неделе,142
284,242,как бы ты посоветовал мне поступить,143
285,192,я жить не могу без тома,144
286,261,я не могу жить без тома,144
287,104,тём ничего нам не платит,145
288,138,том ничего нам не платит,145
289,394,мост очень длинный и очень высокий,146
290,20,мост очень длинный и высокий,146
291,74,я сейчас не могу говорить,147
292,97,я не могу сейчас говорить,147
293,174,мне придётся это ещё раз обдумать,148
294,149,мне придётся это ещё раз обдумать,148
295,153,он не сказал но ни слова,149
296,335,он не сказал мне ни слова,149
297,268,я бы хотел быть камнем,150
298,49,я хотел бы быть камнем,150
299,393,я так его любила,151
300,327,здесь ничего никогда не происходит,152
301,377,я ничего в последнее время не покупал,153
302,365,том каждое утро читает газету,154
303,184,том больше не может здесь оставаться,155
304,344,я не могу в этом году поехать за границу,156
305,307,я не могу поехать в этом году за границу,156
306,225,я был вынужден уйти,157
307,170,ты едешь на поезде или на машине,158
308,224,ты на поезде едешь или на машине,158
309,238,на печи старая кошка возится со своими котятами,159
310,87,том не хочет никого видеть,160
311,279,том не хочет сегодня никого видеть,160
312,293,том сегодня не хочет никого видеть,160
313,367,я беру всё с собой,161
314,312,я смогу там быть через час,162
315,50,я рмогу там быть через час,162
316,228,хорошо что тома здесь нет,163
317,223,я думаю что здесь мы в безопасности,164
318,256,я хочу чтобы нас не поймали,165
319,237,я завтра им позвоню,166
320,340,у меня было всё под контролем,167
321,195,я никогда ни о чём тебя не просил,168
322,334,надеюсь вы все понимаете,169
323,396,они пили белое сухое вино,170
324,6,он всю ночь стонал от сильной боли,171
325,2,почему она так со мной поступает,172
326,150,почему он так со мной поступает,172
327,161,том яблоко ест или банан,173
328,222,том ест яблоко или банан,173
329,28,сколько сейчас времени в париже,174
330,321,том никогда нам ничего не рассказывает,175
331,216,она никогда нам ничего не рассказывает,175
332,395,никто ничем никому не обязан,176
333,152,прибавить пять к десяти легко,177
334,273,я и сам уже не рад,178
335,63,я видел тебя с высоким парнем,179
336,57,я тебя видел с высоким парнем,179
337,283,интерфейс очень интуитивно понятен,180
338,77,я здесь часто ем,181
339,246,математик такого бы не сказал,182
340,125,я говорю также на испанском,183
341,127,зачем тому была нужна отвёртка,184
342,308,он очень этого хочет,185
343,1,ты нашёл их или нет,186
344,39,они никогда меня не слушают,187
345,186,у тебя в детстве была любимая книга,188
346,399,иди сюда я тебе ещё кое-что покажу,189
347,73,мы будем делать всё по-своему,190
348,181,я не хочу больше на вас работать,191
349,134,этой мечте было не суждено осуществиться,192
350,76,где был том весь день,193
351,137,том тебе звонил вчера вечером,194
352,341,если у тебя будет время завтра приходи ко мне,195
353,262,я их видел три недели назад,196
354,27,тому это тоже не нравится,197
355,263,когда я его видел в последний раз,198
356,371,том сказал что ничего не хочет есть,199
357,42,я поймал сегодня три рыбы,200
358,96,мы теряем здесь время,201
359,356,вот как оно всё обернулось,202
360,230,почему ты просто не можешь позвонить им,203
361,136,я привык что том всё время на меня орёт,204
362,45,я сделал всё правильно,205
363,175,я там встретил тома,206
364,248,они хотят чтобы кто-нибудь им помог,207
365,98,можешь меня высадить у библиотеки,208
366,115,том сегодня будет здесь,209
367,164,том обещал никогда этого больше не делать,210
368,286,кто-то это уже сделал,211
369,165,я просто был невнимателен,212
370,240,тому некому было помочь,213
371,51,мне никогда не нужно было столько денег,214
372,47,я тоже завтра пойду в университет,215
373,18,том этим сейчас занимается,216
374,196,она сказала что вчера была дома,217
375,99,том был мне как отец,218
376,275,что ты ещё сделал,219
377,212,мы больше не хотим ждать,220
378,72,что могло с ними случиться,221
379,43,я хочу что-нибудь сделать для тома,222
380,233,я бы хотел поцеловать мир,223
381,217,я кричу но никто меня не слышит,224
382,281,у меня сейчас есть немного денег,225
383,120,мы их никогда не найдём,226
384,141,я тебе уже всё сказал,227
385,154,думаю я мог бы и один это сделать,228
386,382,что ещё ты можешь рассказать нам о томе,229
387,105,с этим нужно что-то немедленно делать,230
388,60,том не может жить без мир,231
389,373,том никогда туда больше не вернётся,232
390,11,он даже меня не замечает,233
391,133,я тебя не спрашиваю том,234
392,8,тому было тогда всего тринадцать лет,235
393,16,я хотел бы учиться в бостоне,236
394,188,я знаю что все вы трусы,237
395,100,я сделал это всё для тебя,238
396,82,том больше мне не доверяет,239
397,31,тому было больше не к кому обратиться,240
398,30,они их только что нашли,241
399,78,мы их только что нашли,241
400,198,я полностью с ними согласен,242
401,191,мир говорит что ничего не будет делать,243
402,383,по-моему я это сделал неправильно,244
403,113,я бы тоже хотел услышать твой голос,245
404,319,я тоже хотел бы услышать твой голос,245
405,220,не думаю что можно что-то сделать,246
406,388,нет был вчера дома,247
407,166,том был не единственным свидетелем,248
408,208,что ещё я получу,249
409,159,том сможет это сделать без нашей помощи,250
410,114,я больше не могу доверять тому,251
411,79,я всё ей рассказываю,252
